version,last_updated_utc,check_id,title,category,platform,severity,description,logic,data_points,automatable,owner,status,notes,drive_pillar,drive_maturity_min,drive_weight,nist_csf_function,nist_csf_id,cis_v8_control,cis_m365_benchmark,iso_27001_annex,anssi_level,pingcastle_topic,tags
1.0.0,2025-09-29T11:17:12Z,ES-001-EX,External recipient/guest has access to sensitive mailbox items or shared mailboxes.,Access Control,Exchange Online,Medium,"Non-employees can read internal email content or attachments. If their account is compromised—or they leave their company—confidential communications and PII can be exfiltrated, enabling phishing, legal exposure, or insider trading concerns.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,FS-AX-012,File system broad access to hidden/admin shares,Access Control,File System,Critical,"Administrative shares (e.g., C$, ADMIN$) and hidden shares should be tightly controlled. If exploited, attackers sweep systems, deploy tools, and exfiltrate data over SMB.","Exploitability: High, Business Impact: High",Score Deduction: 6,true,DRIVE-Team,active,,D,1,0.3,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-007,File system broken inheritance with excessive explicit aces,Access Control,File System,Medium,"Too many explicit permissions make ACLs complex and error‑prone. If exploited, attackers find overlooked grants to reach sensitive data unnoticed.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 4,true,DRIVE-Team,active,,R,2,0.2,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-005,File system change permissions/take ownership to non-admins,Access Control,File System,High,"Granting change‑permissions/ownership to non‑admins lets users rewrite access controls. If exploited, attackers elevate their own access and lock out legitimate owners.","Exploitability: Medium, Business Impact: High",Score Deduction: 5,true,DRIVE-Team,active,,R,2,0.25,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-OH-003,File system excessive acl entries (acl bloat),Access Control,File System,Medium,"Bloated ACLs are difficult to review and easy to misconfigure. If exploited, attackers find gaps to escalate access or hide persistence via permissions.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 17,true,DRIVE-Team,active,,R,2,0.85,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-010,File system local accounts on in acls,Access Control,File System,High,"Local machine accounts in ACLs are hard to track across servers. If exploited, attackers compromise one server and gain access to files elsewhere via those local identities.","Exploitability: Medium, Business Impact: High",Score Deduction: 5,true,DRIVE-Team,active,,D,1,0.25,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-033,File System missing full control ACE,Access Control,File System,Medium,"Some folders are missing a Full Control access control entry (ACE) for trusted administrators (e.g., BUILTIN\Administrators or NT AUTHORITY\SYSTEM). Without that safety net, IT may be unable to reliably change permissions, evict bad entries, or recover ownership during incidents, backups, or migrations. If exploited, an attacker who gains write access can lock out admins by adding Deny ACEs, disable inheritance, replace the owner, and hide malicious files—turning routine remediation into an outage that may require offline recovery or restores. The result can be prolonged downtime, data loss, blocked investigations, and higher impact from ransomware or insider abuse.","Exploitability: , Business Impact: ",Score Deduction: ,true,DRIVE-Team,active,,D,1,0.0,PROTECT,,,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-008,File system orphaned sids in acls,Access Control,File System,Low,"Orphaned SIDs represent unknown or deleted accounts that still hold rights. If exploited, attackers can recreate those SIDs or confuse reviews to keep illicit access.","Exploitability: Medium, Business Impact: Low",Score Deduction: 2,true,DRIVE-Team,active,,D,1,0.1,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-009,File system over-nested groups creating implicit access,Access Control,File System,Medium,"Deep group nesting hides who truly has file access. If exploited, attackers gain data access through indirect group paths that audits miss.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 4,true,DRIVE-Team,active,,D,1,0.2,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-011,File system stale privileged access,Access Control,File System,Medium,"Old grants linger after roles change, expanding the attack surface. If exploited, attackers use forgotten rights to read or alter sensitive data.","Exploitability: Medium, Business Impact: High",Score Deduction: 4,true,DRIVE-Team,active,,I,3,0.2,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,FS-AX-006,File system unintended inheritance to sensitive paths,Access Control,File System,High,"Some folders automatically inherit permissions from parent folders, unintentionally granting access to sensitive data. If exploited, an attacker who gains access to a parent location can inherit read/modify rights to confidential files, enabling silent data theft or tampering.","Exploitability: Medium, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,I,3,0.15,PROTECT,AC-3,3,,,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,DE-002-OD,Anonymous sharing links are enabled (scope == anonymous).,Access Control,OneDrive,Medium,"Share links don’t require authentication across SharePoint/OneDrive. Anyone who gets the URL (even unintentionally) can access the file. If exposed (e.g., pasted into a ticket or chat), data can spread publicly and evade access logs, creating regulatory and reputational risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,D,1,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-001-OD,Guest user has access to sensitive content.,Access Control,OneDrive,Medium,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,CC-002-OD,Non-expiring (permanent) links are allowed.,Access Control,OneDrive,Medium,"Share links never expire. Old links continue to work long after the business need ends. If they surface in email threads, tickets, or web caches, outsiders may gain indefinite access to sensitive files.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,D,1,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,AC-003-OD,Orphaned users (not resolvable in directory) still appear on ACLs.,Access Control,OneDrive,Medium,"Permissions reference accounts that no longer exist (or can’t be resolved). This breaks accountability and reviews. If an identity is later re-created or mapped, it may inherit unintended access; audits also fail due to unverifiable access lists.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,SP-ES-010,Sharepoint 'everyone except external users' on sensitive libraries,Access Control,SharePoint,Medium,"This broad group grants access to nearly all employees. If exploited, sensitive data spreads internally and is easier to exfiltrate by any compromised user.","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,R,2,0.35,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-ES-002,Sharepoint anyone links with edit,Access Control,SharePoint,Critical,"Anonymous edit links let unauthenticated users change files. If exploited, attackers deface content, insert malware, or corrupt records.","Exploitability: High, Business Impact: High",Score Deduction: 10,true,DRIVE-Team,active,,R,2,0.5,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-ES-006,Sharepoint external sharing to consumer domains,Access Control,SharePoint,Medium,"Sharing to personal email domains weakens identity assurance and revocation. If exploited, attackers forward or retain access beyond business need.","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,R,2,0.35,PROTECT,AC-14,15,,,,,
1.0.0,2025-09-29T11:17:12Z,SP-ES-008,Sharepoint guest accounts as site owners / full control,Access Control,SharePoint,High,"Guests with owner/full control bypass internal governance. If exploited, external users change permissions, exfiltrate data, or delete evidence.","Exploitability: Medium, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,R,2,0.35,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-ES-001,Sharepoint open access (anyone links present),Access Control,SharePoint,Critical,"‘Anyone’ links allow anonymous access from the internet. If exploited, sensitive documents leak publicly and can be indexed by search engines.","Exploitability: High, Business Impact: High",Score Deduction: 9,true,DRIVE-Team,active,,R,2,0.45,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-AX-001,Sharepoint sensitive data with visitors group misconfigured for edit,Access Control,SharePoint,High,"Visitors should be read‑only; granting edit to visitors broadens write access. If exploited, attackers alter or plant malicious files and mislead users.","Exploitability: Medium, Business Impact: High",Score Deduction: 5,true,DRIVE-Team,active,,I,3,0.25,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,DE-002-SPO,Anonymous sharing links are enabled (scope == anonymous).,Access Control,SharePoint,Medium,"Share links don’t require authentication across SharePoint/OneDrive. Anyone who gets the URL (even unintentionally) can access the file. If exposed (e.g., pasted into a ticket or chat), data can spread publicly and evade access logs, creating regulatory and reputational risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,AC-006,Broken permission inheritance,Access Control,SharePoint,Medium,"A site/library/folder stopped inheriting permissions and has custom access that’s hard to see or review. Over time, this drifts into overexposure. If exploited, unauthorized users can read/alter/delete sensitive files, causing outages, data loss, or breaches.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-001-SPO,Guest user has access to sensitive content.,Access Control,SharePoint,Medium,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,CC-002-SPO,Non-expiring (permanent) links are allowed.,Access Control,SharePoint,Medium,"Share links never expire. Old links continue to work long after the business need ends. If they surface in email threads, tickets, or web caches, outsiders may gain indefinite access to sensitive files.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,AC-003-SPO,Orphaned users (not resolvable in directory) still appear on ACLs.,Access Control,SharePoint,Medium,"Permissions reference accounts that no longer exist (or can’t be resolved). This breaks accountability and reviews. If an identity is later re-created or mapped, it may inherit unintended access; audits also fail due to unverifiable access lists.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,DE-003,File Shared with Everyone,Access Control,SharePoint,Medium,"A file or folder is open to all employees by default (“Everyone”/“Everyone except external users”). This breaks least-privilege. If abused, sensitive data can be harvested at scale by any compromised internal account.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,AC-001-SPO,Inactive user (>90 days) still retains permissions to SharePoint Online resources.,Access Control,SharePoint,Medium,"A dormant account still has SharePoint access. If abused, broad site content can be copied or tampered with, complicating forensics and recovery.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,DE-002-Teams,Anonymous links to files shared via Teams (backed by SharePoint/OneDrive) are enabled (scope == anonymous).,Access Control,Teams,Medium,"Files shared in Teams can be opened by anyone with the link—no sign-in required. If that link is forwarded or leaked, outsiders can read or download sensitive content without leaving a trace, leading to data leaks, loss of IP, and potential compliance fines.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-001-Teams,Guest user has access to sensitive content.,Access Control,Teams,Medium,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,DE-001,Org-wide Teams sharing  (scope == organization),Access Control,Teams,Medium,"Teams channels or files are visible to everyone in the company by default. This increases insider risk and accidental exposure of HR, finance, or legal content, and makes it easier for attackers with any compromised account to find crown-jewel data.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,AC-001-Teams,Inactive user (>90 days) still retains permissions to Microsoft Teams resources.,Access Control,Teams,Medium,"A stale account still sees Teams chats/files. Compromise exposes conversations, shared docs, and links, enabling lateral movement and reputational harm if sensitive discussions leak.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,FS-032,File System Empty Shares,Compliance & Governance,File System,Low,"Unused shares increase attack surface and confusion. If exploited, attackers stage tools or data exfiltration paths that go unnoticed.","Exploitability: Low, Business Impact: Low",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,4,,A.9.1,,,mitre:—
1.0.0,2025-09-29T11:17:12Z,AC-007-OD,Site/workload is stale (no activity >180 days).,Compliance & Governance,OneDrive,Medium,"Old sites/teams linger without owners or reviews. They quietly accumulate risky links and guests. If exploited, they become easy backdoors for data theft and malware staging, and they complicate compliance and cleanup.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,SP-ES-003,Sharepoint anyone links without expiration,Compliance & Governance,SharePoint,Medium,"Non‑expiring public links remain open indefinitely. If exploited, long‑forgotten links enable ongoing data leakage.","Exploitability: High, Business Impact: High",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-ES-009,Sharepoint excessive unique permissions (broken inheritance sprawl),Compliance & Governance,SharePoint,Low,"Too many unique permissions create chaos and blind spots. If exploited, attackers hide access in one-off ACLs that reviews miss.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-MB-005,Sharepoint files unresolved owner,Compliance & Governance,SharePoint,Medium,"Orphaned files lack stewardship and review. If exploited, attackers alter or exfiltrate data while oversight is missing.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,SP-CH-001,Sharepoint missing site owners (orphaned site),Compliance & Governance,SharePoint,Medium,"Sites without owners lack stewardship and review. If exploited, attackers quietly accumulate access and manipulate content without accountability.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,AC-007-SPO,Site/workload is stale (no activity >180 days).,Compliance & Governance,SharePoint,Medium,"Old sites/teams linger without owners or reviews. They quietly accumulate risky links and guests. If exploited, they become easy backdoors for data theft and malware staging, and they complicate compliance and cleanup.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-EX,Sensitive data (emails/attachments) shared externally across multiple domains.,Data Discovery & Classification,Exchange Online,Medium,"Regulated or confidential email content is spread to many third-party domains. The wider the spread, the harder revocation and tracking become—raising breach impact, notification obligations, and legal exposure.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,FS-AX-017,File system sensitive data at share root with modify rights,Data Discovery & Classification,File System,Critical,"Placing sensitive data at share roots with modify permissions increases accidental and malicious changes. If exploited, attackers overwrite or encrypt data at scale (ransomware).","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,R,2,0.35,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AC-008-OD,Files are stale (no access >365 days).,Data Discovery & Classification,OneDrive,Medium,"Old files linger but still carry sensitive data. They’re rarely reviewed, yet remain accessible. If compromised, attackers can mine years of unneeded data, increasing breach scope, incident costs, and discovery/sanctions risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-OD,Sensitive files shared to multiple external domains.,Data Discovery & Classification,OneDrive,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,SP-SR-008,Onedrive sensitive data in personal employee drives,Data Discovery & Classification,SharePoint,Medium,"Personal OneDrives often bypass team controls. If exploited, attackers in a user account can access and share sensitive data outside approved channels.","Exploitability: Medium, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,E,4,0.35,PROTECT,AC-20,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-MB-003,Sharepoint sensitive data + anyone link,Data Discovery & Classification,SharePoint,Critical,"Combining sensitive content with public links multiplies exposure. If exploited, widespread, hard‑to‑trace data leaks occur rapidly.","Exploitability: High, Business Impact: High",Score Deduction: 26,true,DRIVE-Team,active,,E,4,1.0,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-ES-011,Sharepoint sensitive data accessible to 'everyone except external users',Data Discovery & Classification,SharePoint,Medium,"Sensitive documents should never be broadly exposed. If exploited, any phished or malicious insider can mass-download data.","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,E,5,0.35,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-ES-013,Sharepoint sensitive data in communication sites with anonymous links,Data Discovery & Classification,SharePoint,Critical,"Communication sites are often internet-facing; anonymous links add risk. If exploited, external actors retrieve confidential files without authentication.","Exploitability: High, Business Impact: High",Score Deduction: 10,true,DRIVE-Team,active,,E,5,0.5,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AC-008-SPO,Files are stale (no access >365 days).,Data Discovery & Classification,SharePoint,Medium,"Old files linger but still carry sensitive data. They’re rarely reviewed, yet remain accessible. If compromised, attackers can mine years of unneeded data, increasing breach scope, incident costs, and discovery/sanctions risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,5,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-SPO,Sensitive files shared to multiple external domains.,Data Discovery & Classification,SharePoint,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-002-Teams,Sensitive files shared to multiple external domains.,Data Discovery & Classification,Teams,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-003,Shared Channels with sensitive content,Data Discovery & Classification,Teams,Medium,"Teams Shared Channels can include external organizations. A misstep in membership or classification exposes high-value content across tenants; if exploited, competitors or threat actors gain ongoing access to conversations and files.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,5,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,FS-OH-005,File system sensitive data unencrypted at rest,Data Protection,File System,High,"Critical files stored without encryption are readable if storage is compromised. If exploited, attackers exfiltrate high‑value data with minimal effort and little trace.","Exploitability: Medium, Business Impact: High",Score Deduction: 23,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling; Annex A: Cryptography / protection of information at rest,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AD-018,Accounts with adminCount=1 but not currently in privileged groups,Identity,Active Directory,High,"AdminSDHolder ‘lingering’ flags mean an account retains protected ACLs even after leaving admin groups. If exploited, attackers leverage these protections to resist remediation or keep hidden backdoors.","Exploitability: Medium, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,R,2,0.15,PROTECT,AC-2,5,,,,,mitre:T1098
1.0.0,2025-09-29T11:17:12Z,AD-032,Admin accounts not in Protected Users group,Identity,Active Directory,High,"Protected Users enhances safeguards (no NTLM, no cached creds, limited delegation). If exploited, absence of these controls makes admin credentials easier to steal and reuse.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,D,1,0.15,PROTECT,AC-2,4,,A.9.1,,,mitre:T1078 (Valid Accounts)
